;;;;;;;;;;;;;
;;MATTINA;;POMERIGGIO;;;;;;MATTINA;;POMERIGGIO;
;;dalle 7.00 alle 11.00;;dalle 16.00 alle 20.00;;;;;;dalle 7.00 alle 11.00;;dalle 16.00 alle 20.00;
12/5/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
12/6/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
12/7/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
12/8/22;giovedì;;;;;;;;;;;;
12/9/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
12/10/22;sabato;;;;;;;;;;;;
12/11/22;domenica;;;;;;;;;;;;
12/12/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
12/13/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
12/14/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
12/15/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
12/16/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
12/17/22;sabato;;;;;;;;;;;;
12/18/22;domenica;;;;;;;;;;;;
12/19/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
12/20/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
12/21/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
12/22/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
12/23/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
12/24/22;sabato;;;;;;;;;;;;
12/25/22;domenica;;;;;;;;;;;;
12/26/22;lunedì;;;;;;;;;;;;
12/27/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
12/28/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
12/29/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
12/30/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
12/31/22;sabato;;;;;;;;;;;;
